timestamp,host,source,log_level,response_time_ms,status_code,user_count
2024-12-02 08:00:00,database1,/var/log/app/app.log,INFO,660,503,86
2024-12-02 09:00:00,webserver2,/var/log/nginx/access.log,WARNING,312,200,49
2024-12-02 10:00:00,webserver2,/var/log/app/app.log,ERROR,813,503,52
2024-12-02 11:00:00,webserver1,/var/log/app/app.log,CRITICAL,193,200,42
2024-12-02 12:00:00,database1,/var/log/nginx/access.log,CRITICAL,395,503,70
2024-12-02 13:00:00,webserver1,/var/log/app/app.log,WARNING,673,503,15
2024-12-02 14:00:00,webserver1,/var/log/nginx/access.log,WARNING,621,404,54
2024-12-02 15:00:00,appserver1,/var/log/mysql/error.log,ERROR,930,200,60
2024-12-02 16:00:00,appserver1,/var/log/app/app.log,CRITICAL,51,404,97
2024-12-02 17:00:00,appserver1,/var/log/mysql/error.log,CRITICAL,946,200,8
2024-12-02 18:00:00,webserver2,/var/log/nginx/access.log,CRITICAL,353,404,53
2024-12-02 19:00:00,database1,/var/log/app/app.log,INFO,303,500,60
2024-12-02 20:00:00,database1,/var/log/nginx/access.log,CRITICAL,701,503,5
2024-12-02 21:00:00,database1,/var/log/mysql/error.log,INFO,502,200,68
2024-12-02 22:00:00,database1,/var/log/nginx/access.log,ERROR,86,200,6
2024-12-02 23:00:00,appserver1,/var/log/app/app.log,INFO,209,503,96
2024-12-03 00:00:00,webserver2,/var/log/app/app.log,ERROR,58,200,94
2024-12-03 01:00:00,webserver2,/var/log/mysql/error.log,CRITICAL,282,200,47
2024-12-03 02:00:00,appserver1,/var/log/nginx/access.log,CRITICAL,148,404,99
2024-12-03 03:00:00,webserver2,/var/log/app/app.log,ERROR,708,200,55
2024-12-03 04:00:00,appserver1,/var/log/mysql/error.log,WARNING,865,500,40
2024-12-03 05:00:00,database1,/var/log/app/app.log,ERROR,257,500,52
2024-12-03 06:00:00,appserver1,/var/log/app/app.log,WARNING,180,503,16
2024-12-03 07:00:00,database1,/var/log/nginx/access.log,INFO,453,200,13
2024-12-03 08:00:00,database1,/var/log/app/app.log,INFO,201,503,30
2024-12-03 09:00:00,webserver1,/var/log/nginx/access.log,INFO,103,500,19
2024-12-03 10:00:00,appserver1,/var/log/app/app.log,CRITICAL,169,200,17
2024-12-03 11:00:00,webserver1,/var/log/mysql/error.log,INFO,722,200,63
2024-12-03 12:00:00,appserver1,/var/log/app/app.log,WARNING,969,503,19
2024-12-03 13:00:00,appserver1,/var/log/nginx/access.log,INFO,677,500,92
2024-12-03 14:00:00,webserver1,/var/log/nginx/access.log,ERROR,636,200,58
2024-12-03 15:00:00,webserver1,/var/log/mysql/error.log,ERROR,674,503,55
2024-12-03 16:00:00,appserver1,/var/log/app/app.log,CRITICAL,469,500,90
2024-12-03 17:00:00,webserver2,/var/log/app/app.log,ERROR,471,503,90
2024-12-03 18:00:00,database1,/var/log/mysql/error.log,WARNING,153,404,62
2024-12-03 19:00:00,webserver1,/var/log/app/app.log,INFO,901,200,23
2024-12-03 20:00:00,database1,/var/log/app/app.log,CRITICAL,303,404,9
2024-12-03 21:00:00,webserver2,/var/log/nginx/access.log,INFO,276,500,12
2024-12-03 22:00:00,webserver2,/var/log/app/app.log,INFO,161,404,1
2024-12-03 23:00:00,webserver2,/var/log/app/app.log,WARNING,559,404,58
2024-12-04 00:00:00,webserver1,/var/log/mysql/error.log,ERROR,522,500,1
2024-12-04 01:00:00,webserver2,/var/log/mysql/error.log,ERROR,148,503,34
2024-12-04 02:00:00,webserver1,/var/log/nginx/access.log,INFO,202,404,96
2024-12-04 03:00:00,webserver2,/var/log/app/app.log,CRITICAL,910,503,48
2024-12-04 04:00:00,database1,/var/log/app/app.log,ERROR,963,404,89
2024-12-04 05:00:00,database1,/var/log/app/app.log,CRITICAL,945,503,1
2024-12-04 06:00:00,appserver1,/var/log/nginx/access.log,ERROR,927,500,16
2024-12-04 07:00:00,database1,/var/log/nginx/access.log,CRITICAL,387,404,61
2024-12-04 08:00:00,appserver1,/var/log/mysql/error.log,WARNING,755,500,64
2024-12-04 09:00:00,database1,/var/log/nginx/access.log,CRITICAL,871,404,63
2024-12-04 10:00:00,webserver1,/var/log/app/app.log,WARNING,212,500,69
2024-12-04 11:00:00,database1,/var/log/app/app.log,WARNING,769,500,22
2024-12-04 12:00:00,appserver1,/var/log/nginx/access.log,CRITICAL,730,404,93
2024-12-04 13:00:00,appserver1,/var/log/app/app.log,WARNING,210,404,67
2024-12-04 14:00:00,webserver2,/var/log/app/app.log,INFO,629,404,76
2024-12-04 15:00:00,webserver1,/var/log/nginx/access.log,WARNING,850,200,26
2024-12-04 16:00:00,database1,/var/log/nginx/access.log,ERROR,447,503,16
2024-12-04 17:00:00,webserver2,/var/log/app/app.log,CRITICAL,326,200,51
2024-12-04 18:00:00,database1,/var/log/app/app.log,INFO,865,200,86
2024-12-04 19:00:00,database1,/var/log/app/app.log,CRITICAL,965,500,57
2024-12-04 20:00:00,webserver2,/var/log/mysql/error.log,ERROR,553,404,29
2024-12-04 21:00:00,webserver2,/var/log/mysql/error.log,ERROR,945,503,78
2024-12-04 22:00:00,webserver2,/var/log/mysql/error.log,ERROR,441,500,92
2024-12-04 23:00:00,webserver2,/var/log/nginx/access.log,WARNING,184,200,69
2024-12-05 00:00:00,webserver2,/var/log/mysql/error.log,WARNING,244,404,47
2024-12-05 01:00:00,database1,/var/log/nginx/access.log,CRITICAL,450,500,94
2024-12-05 02:00:00,webserver2,/var/log/nginx/access.log,CRITICAL,689,404,62
2024-12-05 03:00:00,webserver1,/var/log/mysql/error.log,INFO,82,500,69
